"Group.1","Group.2","V1","V2"
"Male","2005",2,2
"Male","2006",7,7
"Male","2007",16,16
"Female","2008",1,1
"Male","2008",28,28
"Male","2009",19,19
"Female","2010",2,2
"Male","2010",21,21
"Female","2011",3,3
"Male","2011",32,32
"Female","2012",3,3
"Male","2012",26,26
"Female","2013",2,2
"Male","2013",19,19
