"Group.1","Group.2","V1","V2"
"Male","2005",7,7
"Male","2006",16,16
"Female","2007",1,1
"Male","2007",30,30
"Female","2008",1,1
"Male","2008",38,38
"Male","2009",42,42
"Female","2010",1,1
"Male","2010",61,61
"Female","2011",6,6
"Male","2011",79,79
"Female","2012",10,10
"Male","2012",122,122
"Female","2013",7,7
"Male","2013",59,59
