"Group.1","Group.2","V1","V2"
"Male","2009",9,9
"Male","2010",16,16
"Female","2011",3,3
"Male","2011",60,60
"Female","2012",5,5
"Male","2012",78,78
"Female","2013",5,5
"Male","2013",86,86
