"Group.1","Group.2","V1","V2"
"Female","2010",5,5
"Male","2010",59,59
"Female","2011",11,11
"Male","2011",82,82
"Female","2012",14,14
"Male","2012",88,88
"Female","2013",16,16
"Male","2013",100,100
